,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
86,Neutral,0.4,0.35,1,0.19333333333333333,0.3955719227174287
87,Neutral,0.4,0.4,1,0.18,0.38482937191039607
88,Neutral,0.4,0.45,1,0.14666666666666667,0.35436441131823404
89,Neutral,0.4,0.5,1,0.16666666666666666,0.37330068339472067
90,Neutral,0.45,0.05,1,0.42333333333333334,0.49491280495042955
91,Neutral,0.45,0.1,1,0.39666666666666667,0.4900230923050425
92,Neutral,0.45,0.15,1,0.35,0.4777665429529547
93,Neutral,0.45,0.2,1,0.23,0.42153565411754634
94,Neutral,0.45,0.25,1,0.24666666666666667,0.4317912704378239
95,Neutral,0.45,0.3,1,0.21,0.4079887859958012
96,Neutral,0.45,0.35,1,0.25333333333333335,0.4356468556430326
97,Neutral,0.45,0.4,1,0.18,0.3848293719103961
98,Neutral,0.45,0.45,1,0.17,0.3762604235825435
99,Neutral,0.45,0.5,1,0.18666666666666668,0.39029474612365467
100,Neutral,0.5,0.05,1,0.43666666666666665,0.496801362923753
101,Neutral,0.5,0.1,1,0.4066666666666667,0.4920323923679755
102,Neutral,0.5,0.15,1,0.38,0.48619744946494803
103,Neutral,0.5,0.2,1,0.31333333333333335,0.46462365345879686
104,Neutral,0.5,0.25,1,0.23333333333333334,0.42365927286816174
105,Neutral,0.5,0.3,1,0.25333333333333335,0.4356468556430324
106,Neutral,0.5,0.35,1,0.20333333333333334,0.4031509118779828
107,Neutral,0.5,0.4,1,0.16,0.3672185974698983
108,Neutral,0.5,0.45,1,0.17,0.3762604235825436
109,Neutral,0.5,0.5,1,0.19,0.3929563789010983
110,Punishment,0.0,0.05,1,0.88,0.32509159884271144
111,Punishment,0.0,0.1,1,0.6,0.49009402539000435
112,Punishment,0.0,0.15,1,0.28,0.44917859379906117
113,Punishment,0.0,0.2,1,0.2,0.4001600960640447
114,Punishment,0.0,0.25,1,0.2,0.4001600960640447
115,Punishment,0.0,0.3,1,0.2,0.4001600960640447
116,Punishment,0.0,0.35,1,0.16,0.36675278606285766
117,Punishment,0.0,0.4,1,0.16,0.36675278606285766
118,Punishment,0.0,0.45,1,0.16,0.36675278606285766
119,Punishment,0.0,0.5,1,0.16,0.36675278606285766
120,Punishment,0.05,0.05,1,0.7304,0.4439296101850374
121,Punishment,0.05,0.1,1,0.5464,0.4980416412119624
122,Punishment,0.05,0.15,1,0.3,0.4584409825785715
123,Punishment,0.05,0.2,1,0.2024,0.4019496122558573
124,Punishment,0.05,0.25,1,0.1976,0.39834807009443157
125,Punishment,0.05,0.3,1,0.1592,0.36600892068912644
126,Punishment,0.05,0.35,1,0.1472,0.35444698635043603
127,Punishment,0.05,0.4,1,0.1488,0.35603366129395614
128,Punishment,0.05,0.45,1,0.1448,0.35203992058365735
129,Punishment,0.05,0.5,1,0.14,0.34712590960297696
130,Punishment,0.1,0.05,1,0.6504,0.4770344741332738
131,Punishment,0.1,0.1,1,0.5424,0.4983983956320635
132,Punishment,0.1,0.15,1,0.3056,0.4608454652421651
133,Punishment,0.1,0.2,1,0.2088,0.40661385596446353
134,Punishment,0.1,0.25,1,0.1952,0.39651322574480696
135,Punishment,0.1,0.3,1,0.1408,0.34795433288611205
136,Punishment,0.1,0.35,1,0.1344,0.34121808836440926
137,Punishment,0.1,0.4,1,0.12,0.3250915988427116
138,Punishment,0.1,0.45,1,0.1272,0.33333023750897595
139,Punishment,0.1,0.5,1,0.116,0.32035308782764144
140,Punishment,0.15,0.05,1,0.6016,0.4897645714712069
141,Punishment,0.15,0.1,1,0.5304,0.4992747341976824
142,Punishment,0.15,0.15,1,0.3152,0.4647814297300802
143,Punishment,0.15,0.2,1,0.1984,0.3989545986919485
144,Punishment,0.15,0.25,1,0.1808,0.38500642066745366
145,Punishment,0.15,0.3,1,0.1512,0.3583870994475672
146,Punishment,0.15,0.35,1,0.1176,0.32226281612703406
147,Punishment,0.15,0.4,1,0.128,0.3342235244434978
148,Punishment,0.15,0.45,1,0.1192,0.3241533901353941
149,Punishment,0.15,0.5,1,0.1184,0.3232104763302199
150,Punishment,0.2,0.05,1,0.5792,0.49388510607063124
151,Punishment,0.2,0.1,1,0.5272,0.49945943557232525
152,Punishment,0.2,0.15,1,0.3568,0.479246806981123
153,Punishment,0.2,0.2,1,0.2272,0.41919057311594143
154,Punishment,0.2,0.25,1,0.188,0.39086854897530754
155,Punishment,0.2,0.3,1,0.1408,0.3479543328861122
156,Punishment,0.2,0.35,1,0.1336,0.34035821566693153
157,Punishment,0.2,0.4,1,0.132,0.33862624556780874
158,Punishment,0.2,0.45,1,0.1104,0.3135131135660871
159,Punishment,0.2,0.5,1,0.108,0.310504638458757
160,Punishment,0.25,0.05,1,0.5624,0.49628951492662116
161,Punishment,0.25,0.1,1,0.5296,0.49932284009337213
162,Punishment,0.25,0.15,1,0.4168,0.4932264975671135
163,Punishment,0.25,0.2,1,0.2232,0.4165580109194502
164,Punishment,0.25,0.25,1,0.1704,0.3761343132676062
165,Punishment,0.25,0.3,1,0.1512,0.3583870994475672
166,Punishment,0.25,0.35,1,0.1264,0.3324326234883204
167,Punishment,0.25,0.4,1,0.1208,0.32602514307202163
168,Punishment,0.25,0.45,1,0.1104,0.31351311356608735
169,Punishment,0.25,0.5,1,0.112,0.3154926758306796
170,Punishment,0.3,0.05,1,0.552,0.49748768346176897
171,Punishment,0.3,0.1,1,0.5096,0.5001079146954913
172,Punishment,0.3,0.15,1,0.4144,0.4928153138314973
173,Punishment,0.3,0.2,1,0.2584,0.43793020710272323
174,Punishment,0.3,0.25,1,0.1968,0.3977390062008539
175,Punishment,0.3,0.3,1,0.1528,0.35993861232676244
176,Punishment,0.3,0.35,1,0.1408,0.34795433288611216
177,Punishment,0.3,0.4,1,0.116,0.32035308782764166
178,Punishment,0.3,0.45,1,0.1216,0.3269540627784487
179,Punishment,0.3,0.5,1,0.1048,0.30641813532969503
180,Punishment,0.35,0.05,1,0.5304,0.49927473419768276
181,Punishment,0.35,0.1,1,0.532,0.49917465908459113
182,Punishment,0.35,0.15,1,0.3968,0.4894296610489518
183,Punishment,0.35,0.2,1,0.2656,0.44182893776686755
184,Punishment,0.35,0.25,1,0.1984,0.3989545986919488
185,Punishment,0.35,0.3,1,0.1624,0.36896496868740114
186,Punishment,0.35,0.35,1,0.1304,0.3368777661162027
187,Punishment,0.35,0.4,1,0.1296,0.33599725493560123
188,Punishment,0.35,0.45,1,0.116,0.3203530878276415
189,Punishment,0.35,0.5,1,0.1192,0.324153390135394
190,Punishment,0.4,0.05,1,0.5344,0.4990148822251156
191,Punishment,0.4,0.1,1,0.5312,0.4992253406555018
192,Punishment,0.4,0.15,1,0.4224,0.4941392302409221
193,Punishment,0.4,0.2,1,0.3304,0.47054539672203866
194,Punishment,0.4,0.25,1,0.2144,0.41056971879961657
195,Punishment,0.4,0.3,1,0.1648,0.37114843516946566
196,Punishment,0.4,0.35,1,0.1432,0.3504168854305913
197,Punishment,0.4,0.4,1,0.148,0.35524211119467924
198,Punishment,0.4,0.45,1,0.1352,0.3420739271814292
199,Punishment,0.4,0.5,1,0.1192,0.32415339013539374
200,Punishment,0.45,0.05,1,0.5264,0.4995023945024594
201,Punishment,0.45,0.1,1,0.5184,0.49986130982828686
202,Punishment,0.45,0.15,1,0.4264,0.4947513143898384
203,Punishment,0.45,0.2,1,0.3272,0.4693787523210915
204,Punishment,0.45,0.25,1,0.2488,0.4324906918753823
205,Punishment,0.45,0.3,1,0.1712,0.37683439775405925
206,Punishment,0.45,0.35,1,0.14,0.3471259096029768
207,Punishment,0.45,0.4,1,0.1376,0.34461754017925317
208,Punishment,0.45,0.45,1,0.136,0.3429257623200249
209,Punishment,0.45,0.5,1,0.1304,0.3368777661162025
210,Punishment,0.5,0.05,1,0.5232,0.49966137452414056
211,Punishment,0.5,0.1,1,0.5136,0.5000150518150767
212,Punishment,0.5,0.15,1,0.4528,0.4979664009038598
213,Punishment,0.5,0.2,1,0.3456,0.47575383694795004
214,Punishment,0.5,0.25,1,0.2816,0.44995934341736105
215,Punishment,0.5,0.3,1,0.1832,0.38698522717649353
216,Punishment,0.5,0.35,1,0.1736,0.3789167485370071
217,Punishment,0.5,0.4,1,0.1816,0.3856688117360242
218,Punishment,0.5,0.45,1,0.148,0.35524211119467936
219,Punishment,0.5,0.5,1,0.1248,0.3306242730471288
220,Reward,0.0,0.05,1,0.5032,0.5001898758766953
221,Reward,0.0,0.1,1,0.184,0.38763927996153247
222,Reward,0.0,0.15,1,0.1792,0.3836731996103969
223,Reward,0.0,0.2,1,0.1328,0.33949427843790514
224,Reward,0.0,0.25,1,0.1416,0.34877895206839044
225,Reward,0.0,0.3,1,0.1392,0.34629365491782965
226,Reward,0.0,0.35,1,0.1352,0.3420739271814292
227,Reward,0.0,0.4,1,0.1456,0.35284591565179535
228,Reward,0.0,0.45,1,0.1384,0.3454575411395506
229,Reward,0.0,0.5,1,0.1376,0.34461754017925356
230,Reward,0.05,0.05,1,0.4472,0.4974033454556339
231,Reward,0.05,0.1,1,0.2464,0.4310866601587826
232,Reward,0.05,0.15,1,0.1752,0.38029022670221246
233,Reward,0.05,0.2,1,0.1352,0.34207392718142954
234,Reward,0.05,0.25,1,0.1416,0.34877895206839066
235,Reward,0.05,0.3,1,0.1352,0.34207392718142926
236,Reward,0.05,0.35,1,0.1432,0.3504168854305912
237,Reward,0.05,0.4,1,0.1376,0.3446175401792536
238,Reward,0.05,0.45,1,0.1384,0.34545754113955024
239,Reward,0.05,0.5,1,0.132,0.3386262455678087
240,Reward,0.1,0.05,1,0.4696,0.4992747341976824
241,Reward,0.1,0.1,1,0.3224,0.4675822350316721
242,Reward,0.1,0.15,1,0.1696,0.375431217241059
243,Reward,0.1,0.2,1,0.1384,0.3454575411395506
244,Reward,0.1,0.25,1,0.1432,0.350416885430591
245,Reward,0.1,0.3,1,0.1392,0.3462936549178302
246,Reward,0.1,0.35,1,0.1352,0.34207392718142965
247,Reward,0.1,0.4,1,0.136,0.34292576232002503
248,Reward,0.1,0.45,1,0.1352,0.3420739271814292
249,Reward,0.1,0.5,1,0.1232,0.3287981852098303
250,Reward,0.15,0.05,1,0.4888,0.5000746141284886
251,Reward,0.15,0.1,1,0.3288,0.4699651623291271
252,Reward,0.15,0.15,1,0.1952,0.3965132257448074
253,Reward,0.15,0.2,1,0.1304,0.3368777661162022
254,Reward,0.15,0.25,1,0.1352,0.3420739271814293
255,Reward,0.15,0.3,1,0.1392,0.34629365491782965
256,Reward,0.15,0.35,1,0.1352,0.34207392718142954
257,Reward,0.15,0.4,1,0.1264,0.3324326234883207
258,Reward,0.15,0.45,1,0.1352,0.34207392718142954
259,Reward,0.15,0.5,1,0.1208,0.32602514307202146
260,Reward,0.2,0.05,1,0.5072,0.5001482566428663
261,Reward,0.2,0.1,1,0.3776,0.4849808296459756
262,Reward,0.2,0.15,1,0.2696,0.44392961018503735
263,Reward,0.2,0.2,1,0.1464,0.3536482626494015
264,Reward,0.2,0.25,1,0.1304,0.3368777661162025
265,Reward,0.2,0.3,1,0.1344,0.3412180883644094
266,Reward,0.2,0.35,1,0.1304,0.3368777661162026
267,Reward,0.2,0.4,1,0.1296,0.3359972549356014
268,Reward,0.2,0.45,1,0.1224,0.3278783972675174
269,Reward,0.2,0.5,1,0.1136,0.31745182394880445
270,Reward,0.25,0.05,1,0.5104,0.5000919050842801
271,Reward,0.25,0.1,1,0.3912,0.48821434083205184
272,Reward,0.25,0.15,1,0.2984,0.457739074198433
273,Reward,0.25,0.2,1,0.1624,0.36896496868740114
274,Reward,0.25,0.25,1,0.136,0.342925762320025
275,Reward,0.25,0.3,1,0.1312,0.3377540854790748
276,Reward,0.25,0.35,1,0.1288,0.3351125188951559
277,Reward,0.25,0.4,1,0.1224,0.3278783972675171
278,Reward,0.25,0.45,1,0.1168,0.3213103675293179
279,Reward,0.25,0.5,1,0.12,0.3250915988427112
280,Reward,0.3,0.05,1,0.5,0.5002001200800561
281,Reward,0.3,0.1,1,0.4176,0.4933608861383083
282,Reward,0.3,0.15,1,0.3112,0.46316971073760416
283,Reward,0.3,0.2,1,0.1952,0.3965132257448069
284,Reward,0.3,0.25,1,0.1456,0.35284591565179513
285,Reward,0.3,0.3,1,0.128,0.3342235244434977
286,Reward,0.3,0.35,1,0.136,0.3429257623200249
287,Reward,0.3,0.4,1,0.1288,0.3351125188951559
288,Reward,0.3,0.45,1,0.1224,0.3278783972675172
289,Reward,0.3,0.5,1,0.1216,0.3269540627784492
290,Reward,0.35,0.05,1,0.5192,0.49983119648535745
291,Reward,0.35,0.1,1,0.4344,0.49587635019604126
292,Reward,0.35,0.15,1,0.3408,0.4741679324696534
293,Reward,0.35,0.2,1,0.2056,0.4043011347078077
294,Reward,0.35,0.25,1,0.1312,0.33775408547907504
295,Reward,0.35,0.3,1,0.1392,0.3462936549178299
296,Reward,0.35,0.35,1,0.1288,0.3351125188951563
297,Reward,0.35,0.4,1,0.1256,0.3315306472349801
298,Reward,0.35,0.45,1,0.1336,0.3403582156669314
299,Reward,0.35,0.5,1,0.1128,0.31647477787024764
300,Reward,0.4,0.05,1,0.4784,0.499733155375211
301,Reward,0.4,0.1,1,0.4304,0.495330315746329
302,Reward,0.4,0.15,1,0.348,0.4765266646576069
303,Reward,0.4,0.2,1,0.2456,0.43061465742186367
304,Reward,0.4,0.25,1,0.1712,0.3768343977540592
305,Reward,0.4,0.3,1,0.1416,0.3487789520683909
306,Reward,0.4,0.35,1,0.1352,0.3420739271814294
307,Reward,0.4,0.4,1,0.1408,0.34795433288611194
308,Reward,0.4,0.45,1,0.1264,0.33243262348832053
309,Reward,0.4,0.5,1,0.1136,0.3174518239488043
310,Reward,0.45,0.05,1,0.5248,0.4995844550245353
311,Reward,0.45,0.1,1,0.4408,0.4966817030768672
312,Reward,0.45,0.15,1,0.3496,0.47703447413327427
313,Reward,0.45,0.2,1,0.252,0.43433502913537525
314,Reward,0.45,0.25,1,0.2096,0.4071860513135328
315,Reward,0.45,0.3,1,0.1464,0.3536482626494015
316,Reward,0.45,0.35,1,0.14,0.34712590960297707
317,Reward,0.45,0.4,1,0.1328,0.33949427843790514
318,Reward,0.45,0.45,1,0.128,0.3342235244434976
319,Reward,0.45,0.5,1,0.1192,0.3241533901353942
320,Reward,0.5,0.05,1,0.4792,0.4997671195056663
321,Reward,0.5,0.1,1,0.4336,0.4957697753353957
322,Reward,0.5,0.15,1,0.3648,0.4815666985871741
323,Reward,0.5,0.2,1,0.2744,0.4463900214397638
324,Reward,0.5,0.25,1,0.2344,0.4237927798537928
325,Reward,0.5,0.3,1,0.1488,0.356033661293956
326,Reward,0.5,0.35,1,0.1528,0.3599386123267619
327,Reward,0.5,0.4,1,0.1448,0.35203992058365735
328,Reward,0.5,0.45,1,0.1392,0.34629365491782993
329,Reward,0.5,0.5,1,0.1192,0.3241533901353941
