,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
7809,151223_fnca,1,1,Reward,2,5,2.0,0,895,27,1,0,1,0,3.0,,1.0,,MostlyReward,MostlyReward
7810,151223_fnca,2,1,Reward,3,5,3.0,0,564,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7811,151223_fnca,3,1,Punishment,4,5,2.0,0,377,14,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
7812,151223_fnca,4,1,Reward,5,5,2.0,0,486,13,2,0,2,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
7813,151223_fnca,5,1,Reward,6,5,3.0,0,348,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7814,151223_fnca,6,1,Reward,7,5,2.0,0,843,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7815,151223_fnca,7,1,Neutral,8,5,3.0,0,880,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7817,151223_fnca,10,1,Reward,10,5,2.0,0,716,14,2,0,2,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
7818,151223_fnca,11,1,Punishment,11,5,3.0,0,308,14,1,1,0,0,3.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
7819,151223_fnca,12,1,Punishment,12,5,3.0,0,520,14,2,2,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7820,151223_fnca,13,1,Punishment,13,5,2.0,0,374,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7821,151223_fnca,14,1,Neutral,14,5,2.0,0,696,13,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7822,151223_fnca,15,1,Punishment,15,5,2.0,0,528,13,3,0,3,0,3.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
7823,151223_fnca,16,1,Punishment,16,5,3.0,0,430,14,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7825,151223_fnca,19,1,Punishment,18,5,3.0,0,680,13,3,3,0,0,3.0,,0.0,,MostlyPunishment,MostlyPunishment
7826,151223_fnca,20,1,Punishment,19,5,3.0,0,752,13,4,4,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7827,151223_fnca,21,1,Punishment,20,5,2.0,0,372,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7828,151223_fnca,22,1,Neutral,21,5,2.0,0,608,14,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7829,151223_fnca,23,1,Punishment,22,5,2.0,0,562,13,3,0,3,0,3.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
7830,151223_fnca,24,1,Neutral,23,5,3.0,0,649,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7831,151223_fnca,25,1,Punishment,24,5,3.0,0,297,13,2,2,0,0,3.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
