,HCPID,ResponseSwitch,BlockType,TrialType,ans,bll,lf,ResponseSwitch_mean.m1,ResponseSwitch_std.m1,LL.m1,egs,alpha,r,ResponseSwitch_mean.m2,ResponseSwitch_std.m2,LL.m2,LL.diff,best_model
126,100307_fnca,0.6666666666666666,MostlyPunishment,Neutral,0.5,0.8,0.1,0.4133333333333333,0.4932543851982259,-3.782032341797302,0.5,0.1,1,0.3133333333333333,0.4654025704405883,-3.739303939219311,-0.042728402577991265,m2
127,100307_fnca,0.5294117647058824,MostlyPunishment,Punishment,0.5,0.8,0.1,0.401,0.4902235812155412,-3.782032341797302,0.5,0.1,1,0.488,0.5001060948499888,-3.739303939219311,-0.042728402577991265,m2
128,100307_fnca,0.25,MostlyPunishment,Reward,0.5,0.8,0.1,0.356,0.4792947390633323,-3.782032341797302,0.5,0.1,1,0.388,0.4882720947936885,-3.739303939219311,-0.042728402577991265,m2
129,100307_fnca,1.0,MostlyReward,Neutral,0.5,0.8,0.1,0.3766666666666666,0.4853598005695554,-3.782032341797302,0.5,0.1,1,0.4466666666666666,0.4988129084871181,-3.739303939219311,-0.042728402577991265,m2
130,100307_fnca,0.4,MostlyReward,Punishment,0.5,0.8,0.1,0.408,0.4919553232562487,-3.782032341797302,0.5,0.1,1,0.46,0.4993972270261879,-3.739303939219311,-0.042728402577991265,m2
131,100307_fnca,0.5625,MostlyReward,Reward,0.5,0.8,0.1,0.411,0.4921382936228647,-3.782032341797302,0.5,0.1,1,0.482,0.4999259204381445,-3.739303939219311,-0.042728402577991265,m2
421,100408_fnca,0.5333333333333333,MostlyPunishment,Punishment,0.5,0.65,0.1,0.442,0.4968731054131254,-3.916648597939519,0.1,0.05,1,0.614,0.4870741640050733,-3.741326079063685,-0.17532251887583428,m2
425,100408_fnca,0.4,MostlyReward,Reward,0.5,0.65,0.1,0.379,0.4853808758022862,-3.916648597939519,0.1,0.05,1,0.485,0.5000250243988041,-3.741326079063685,-0.17532251887583428,m2
420,100408_fnca,1.0,MostlyPunishment,Neutral,0.5,0.65,0.1,0.4133333333333333,0.4940813000875431,-3.916648597939519,0.1,0.05,1,0.1866666666666666,0.3909490546234406,-3.741326079063685,-0.17532251887583428,m2
422,100408_fnca,0.5,MostlyPunishment,Reward,0.5,0.65,0.1,0.464,0.4997027228712886,-3.916648597939519,0.1,0.05,1,0.392,0.4891760140182294,-3.741326079063685,-0.17532251887583428,m2
424,100408_fnca,0.8,MostlyReward,Punishment,0.5,0.65,0.1,0.468,0.4999759030337939,-3.916648597939519,0.1,0.05,1,0.728,0.445882546170984,-3.741326079063685,-0.17532251887583428,m2
423,100408_fnca,1.0,MostlyReward,Neutral,0.5,0.65,0.1,0.4333333333333333,0.4971957154062619,-3.916648597939519,0.1,0.05,1,0.3066666666666666,0.4626545331046018,-3.741326079063685,-0.17532251887583428,m2
632,101006_fnca,0.6666666666666666,MostlyReward,Neutral,0.5,0.35,0.1,0.38,0.4870125337747389,-3.893615224830002,0.35,0.05,1,0.44,0.4980498883396799,-3.9662216710732,0.0726064462431979,m1
634,101006_fnca,0.3125,MostlyReward,Reward,0.5,0.35,0.1,0.386,0.4870741640050735,-3.893615224830002,0.35,0.05,1,0.524,0.4996735671152454,-3.9662216710732,0.0726064462431979,m1
631,101006_fnca,0.75,MostlyPunishment,Reward,0.5,0.35,0.1,0.432,0.4963481094787534,-3.893615224830002,0.35,0.05,1,0.496,0.5009869776822834,-3.9662216710732,0.0726064462431979,m1
