,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
8833,157336_fnca,1,1,Reward,2,5,3.0,0,553,27,1,1,0,0,3.0,,0.0,,MostlyReward,MostlyReward
8834,157336_fnca,2,1,Reward,3,5,3.0,0,628,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
8837,157336_fnca,5,1,Reward,6,5,3.0,0,301,13,4,4,0,0,3.0,,0.0,Reward,MostlyReward,MostlyReward
8838,157336_fnca,6,1,Reward,7,5,3.0,0,467,14,5,5,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
8839,157336_fnca,7,1,Neutral,8,5,3.0,0,234,13,6,6,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
8841,157336_fnca,10,1,Reward,10,5,3.0,0,480,14,8,8,0,0,3.0,,0.0,,MostlyPunishment,MostlyPunishment
8842,157336_fnca,11,1,Punishment,11,5,3.0,0,207,13,9,9,0,0,3.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
8843,157336_fnca,12,1,Punishment,12,5,3.0,0,203,13,10,10,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
8844,157336_fnca,13,1,Punishment,13,5,3.0,0,190,13,11,11,0,1,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
8845,157336_fnca,14,1,Neutral,14,5,3.0,0,474,13,12,12,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
8846,157336_fnca,15,1,Punishment,15,5,3.0,0,171,14,13,13,0,1,3.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
8847,157336_fnca,16,1,Punishment,16,5,3.0,0,532,13,14,14,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
8849,157336_fnca,19,1,Punishment,18,5,3.0,0,366,14,16,16,0,0,3.0,,0.0,,MostlyPunishment,MostlyPunishment
8850,157336_fnca,20,1,Punishment,19,5,3.0,0,327,12,17,17,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
8851,157336_fnca,21,1,Punishment,20,5,3.0,0,320,13,18,18,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
8852,157336_fnca,22,1,Neutral,21,5,3.0,0,225,13,19,19,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
