,orig.model,orig.alpha,orig.proc.temp,orig.decay,orig.decl.temp,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
1805,Procedural,1.700573374819042,0.11657131994641357,,,131217_fnca,1.744552488069694,0.18616404169918374,-3.7823192091153977,0.30025597230292195,1.3229019256576728,-34.58055077257297,Procedural,30.798231563457573
1806,Procedural,0.7908211435390693,1.331975679029932,,,131217_fnca,0.3810128273163138,0.5711697142082267,-34.45825397781233,0.41496206568788424,3.645998101900917,-36.55305811104606,Procedural,2.0948041332337297
1807,Procedural,0.7212909247416718,0.296063242243946,,,131217_fnca,1.01439651831173,0.23543358409684045,-19.713804980010494,0.47017367917240693,3.1411511774017087,-35.24733640465685,Procedural,15.533531424646355
1808,Procedural,0.5687521232488568,0.7657689362991575,,,131217_fnca,0.7153409220343527,0.6042071375157679,-30.67664806292199,0.7411200401360339,4.999965335327854,-35.97909654444625,Procedural,5.302448481524259
1809,Procedural,1.991525004723922,1.2430350156787104,,,131217_fnca,1.9962361937364996,1.089809359403669,-13.04935953436507,0.5806212642893965,4.999990189115209,-36.75389759413686,Procedural,23.70453805977179
1810,Procedural,0.04032688040628348,1.1634550516681885,,,131217_fnca,0.4077715987826765,1.2308328634313146,-36.94932743362629,0.01007746260316318,4.9999999896628395,-37.72922306828121,Procedural,0.7798956346549204
1811,Procedural,0.9283980885763065,0.9971013089604233,,,131217_fnca,0.7145255238271709,0.47529505591490345,-30.222663253261366,1.7555885442084904,4.99999999982234,-32.582590571621225,Procedural,2.3599273183598584
1812,Procedural,0.6863526383853884,0.8188123271187655,,,131217_fnca,1.0054395585554043,0.9583441478446207,-32.00101839188423,0.6691516545747291,4.999962111022975,-34.59303145802145,Procedural,2.59201306613722
1813,Procedural,1.584371848560381,1.844134879405858,,,131217_fnca,1.2882284497566656,1.0203377292013596,-29.0413734929331,1.5609906579874024,4.999868194116925,-32.64817385611423,Procedural,3.606800363181126
1814,Procedural,1.169023933742698,1.4781353393961654,,,131217_fnca,1.1597932650952356,1.3561358113280775,-33.55944378671571,0.5805112895323068,3.1656805161286075,-35.033970064614245,Procedural,1.4745262778985335
1815,Procedural,0.7073806165167089,0.36936806241007814,,,131217_fnca,0.5092912544028616,0.2677864668579809,-25.83079319627698,0.28161396933809285,1.5902302961237855,-32.23377811326437,Procedural,6.402984916987393
