,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
0,173132_fnca,0.4512246713770986,0.7762632115127981,-34.92707415133044,0.32708549396208286,1.8064279430669226,-36.72584506409072,Procedural,1.7987709127602827
1,161731_fnca,0.010047140258852463,1.9999999985007602,-38.84531235163234,0.010007816151489417,1.999999998879708,-39.2221328347301,Procedural,0.3768204830977595
2,150523_fnca,0.5742101082738056,0.5420215378489491,-15.386656429723462,0.010000001058149103,0.26858835513622764,-16.101301681185898,Procedural,0.7146452514624357
3,173940_fnca,1.355398372699613,1.9999593922669503,-38.18876925594728,0.36581856564467524,1.9999970003777072,-38.20884436139518,Procedural,0.020075105447901365
4,169343_fnca,0.029958312991102194,0.34114793436009716,-37.85304560890104,0.010047970800698957,0.5053403251583777,-35.77918088598321,Declarative,-2.0738647229178326
5,167743_fnca,0.9407628170335368,1.5466356560705716,-34.94609424963355,0.9950282607639797,1.9999977787079757,-36.044767401600474,Procedural,1.0986731519669206
6,151526_fnca,0.016425221060283803,0.8162980818544836,-38.77380163146485,0.010000755851141638,1.999999999176731,-39.21302975033937,Procedural,0.4392281188745244
7,177645_fnca,0.010057100301796506,1.9999999996122944,-38.130456296282695,0.010037261208852333,1.9999999991355875,-38.2946111677589,Procedural,0.16415487147620667
8,178748_fnca,0.5384902297289743,1.9999999990890887,-37.405525678236266,0.3864000835829554,1.999996607742529,-36.74963805063526,Declarative,-0.6558876276010039
9,172130_fnca,0.12622323299470065,0.7372088560610037,-38.301014311591125,0.1246858148042724,1.8653229289212705,-38.64612073584788,Procedural,0.3451064242567554
10,172029_fnca,0.07037162338098285,0.32027171980411595,-35.0891700520763,0.01000000069158799,0.6895059536114078,-35.10504843701819,Procedural,0.01587838494189242
11,159340_fnca,0.7142058762980434,0.43628953021254724,-26.991270188617698,0.3174573838939357,0.5274002410756072,-30.37554503287434,Procedural,3.384274844256641
12,158035_fnca,0.010003007048933652,0.12777408807662438,-38.35664656110261,0.29492035519218124,1.999998606940748,-38.43138605162841,Procedural,0.07473949052580053
13,111312_fnca,0.010046258798607289,1.9999999992199975,-38.87329328419214,0.07787381237571979,1.9999999990557151,-40.011037370149985,Procedural,1.1377440859578485
14,125525_fnca,0.5954596400705119,0.9866304946125284,-36.65019793623085,0.35000267578789207,1.9999973752470261,-38.34394440248121,Procedural,1.69374646625036
15,150524_fnca,0.626717325563637,1.2429109230961974,-35.38253587004411,0.39389327835446525,1.9999537695986263,-36.96499239376013,Procedural,1.5824565237160186
16,140824_fnca,0.3700767714672434,0.5998849964303047,-34.34503823230776,0.36779571978318654,1.23253842834282,-36.38174993982452,Procedural,2.0367117075167656
17,126628_fnca,0.2081053801333836,0.17168386235619762,-18.09190314917123,0.2926888428651665,0.4755421022420306,-29.431867919744022,Procedural,11.339964770572792
18,116524_fnca,1.017149855499934,1.9999739796039198,-37.04250411761967,0.010000002052979183,0.7973203467960492,-37.61813094875202,Procedural,0.5756268311323467
19,123925_fnca,0.010880433439576244,0.7557854357113432,-38.78675430988057,0.010042563691779987,1.9999999985086754,-39.462426605489725,Procedural,0.6756722956091537
20,173334_fnca,0.018780884169711288,1.0150522382456837,-38.09123619413962,0.010039073333909616,1.999999999157919,-38.176760926241286,Procedural,0.08552473210166767
21,120515_fnca,0.010000738120955255,0.27736121248871404,-38.538469817592585,0.132205732726437,1.9999990263504037,-38.90025505415554,Procedural,0.3617852365629517
22,103111_fnca,0.3887733818087539,1.999999999859283,-38.49362617732386,0.3625886199070622,1.999999999843289,-38.99239584883943,Procedural,0.49876967151556784
23,992774_fnca,0.046520648812176546,0.4375175994807189,-38.18228143723285,0.010000000932058392,1.6329145704068662,-38.1106834986254,Declarative,-0.07159793860745367
24,165840_fnca,0.010000842902315331,0.2582142890343176,-38.50090492505538,0.0100400340119881,1.9999999990705573,-38.77987175587037,Procedural,0.2789668308149871
25,115320_fnca,0.5640524744073866,1.418656739707377,-37.748860798106065,0.885714518920386,1.9999909097407587,-36.98784293262966,Declarative,-0.7610178654764042
26,159239_fnca,0.010055855687427867,1.9999999995553532,-37.443141453431956,0.010032410082261406,1.9999999995157787,-37.550577608649384,Procedural,0.10743615521742811
27,108323_fnca,0.010061493518909052,1.9999999992366426,-36.0695067520892,0.01001166381345958,1.999999999197422,-36.21873010164173,Procedural,0.14922334955253547
28,140117_fnca,0.010000503445688431,0.3303107203160671,-38.68842375212925,0.01003189357101815,1.9999999995108544,-38.98138206949487,Procedural,0.29295831736561695
29,102311_fnca,0.010033769696745312,1.9999999984870709,-38.864697032004585,0.010024570856555785,1.9999999999834635,-40.27246918947396,Procedural,1.407772157469374
30,145531_fnca,0.010052821260545748,1.9999999997304643,-38.206979013488976,0.01002528790830016,1.999999999363409,-38.91016147972207,Procedural,0.7031824662330948
31,113619_fnca,0.9486763897117896,1.9999999998785787,-36.01061623166837,0.010056477943157291,1.9999999984768853,-37.63899026067536,Procedural,1.6283740290069844
32,139637_fnca,0.5148974334317168,1.9327961034172068,-37.38608207163295,0.0100252880964265,1.9999999997434816,-37.90576779230165,Procedural,0.5196857206687042
33,127630_fnca,0.010046746185690106,1.9999999983806682,-36.75385790751444,0.01000967272960156,1.9999999993298199,-37.144440388206995,Procedural,0.39058248069255797
34,163331_fnca,0.3176428398445602,0.7567824559625245,-37.434338143509024,0.7459931519506587,1.9999727676651595,-37.44591050728588,Procedural,0.011572363776856776
