,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.2,0.1,0.15666666666666668,0.36409353546046735
1,Neutral,0.0,0.25,0.1,0.21666666666666667,0.41266191376532896
2,Neutral,0.0,0.3,0.1,0.19333333333333333,0.39557192271742864
3,Neutral,0.0,0.35,0.1,0.11666666666666667,0.32155905051085154
4,Neutral,0.0,0.4,0.1,0.15333333333333332,0.360910529434111
5,Neutral,0.0,0.45,0.1,0.11,0.3134125472108031
6,Neutral,0.0,0.5,0.1,0.21333333333333335,0.4103455867405102
7,Neutral,0.0,0.55,0.1,0.13333333333333333,0.34050261230349943
8,Neutral,0.0,0.6,0.1,0.19666666666666666,0.39814228589993766
9,Neutral,0.0,0.65,0.1,0.21,0.4079887859958013
10,Neutral,0.0,0.7,0.1,0.14666666666666667,0.3543644113182342
11,Neutral,0.0,0.75,0.1,0.20333333333333334,0.40315091187798285
12,Neutral,0.0,0.8,0.1,0.17666666666666667,0.38202359741972386
13,Neutral,0.05,0.2,0.1,0.14666666666666667,0.35436441131823426
14,Neutral,0.05,0.25,0.1,0.24333333333333335,0.4298116047846785
15,Neutral,0.05,0.3,0.1,0.11333333333333333,0.3175294822993922
16,Neutral,0.05,0.35,0.1,0.17666666666666667,0.38202359741972375
17,Neutral,0.05,0.4,0.1,0.15,0.3576680324053051
18,Neutral,0.05,0.45,0.1,0.17666666666666667,0.38202359741972397
19,Neutral,0.05,0.5,0.1,0.14,0.34756679298414606
20,Neutral,0.05,0.55,0.1,0.17,0.37626042358254363
21,Neutral,0.05,0.6,0.1,0.18666666666666668,0.3902947461236547
22,Neutral,0.05,0.65,0.1,0.06,0.2378836454288983
23,Neutral,0.05,0.7,0.1,0.14666666666666667,0.35436441131823404
24,Neutral,0.05,0.75,0.1,0.27,0.4447012450223348
25,Neutral,0.05,0.8,0.1,0.13333333333333333,0.34050261230349954
26,Neutral,0.1,0.2,0.1,0.23666666666666666,0.42574611535281864
27,Neutral,0.1,0.25,0.1,0.16,0.3672185974698984
28,Neutral,0.1,0.3,0.1,0.12,0.3255044965242801
29,Neutral,0.1,0.35,0.1,0.18333333333333332,0.38758607487931857
30,Neutral,0.1,0.4,0.1,0.13333333333333333,0.3405026123034995
31,Neutral,0.1,0.45,0.1,0.17,0.3762604235825435
32,Neutral,0.1,0.5,0.1,0.18666666666666668,0.3902947461236546
33,Neutral,0.1,0.55,0.1,0.16666666666666666,0.3733006833947207
34,Neutral,0.1,0.6,0.1,0.13333333333333333,0.3405026123034995
35,Neutral,0.1,0.65,0.1,0.16333333333333333,0.3702871825318563
36,Neutral,0.1,0.7,0.1,0.11666666666666667,0.32155905051085143
37,Neutral,0.1,0.75,0.1,0.2,0.40066833797650675
38,Neutral,0.1,0.8,0.1,0.17333333333333334,0.37916766204679053
39,Neutral,0.15,0.2,0.1,0.14666666666666667,0.3543644113182341
40,Neutral,0.15,0.25,0.1,0.12333333333333334,0.32936884340443323
41,Neutral,0.15,0.3,0.1,0.24666666666666667,0.43179127043782384
42,Neutral,0.15,0.35,0.1,0.09666666666666666,0.2959970773304745
43,Neutral,0.15,0.4,0.1,0.22333333333333333,0.4171758315991677
44,Neutral,0.15,0.45,0.1,0.19,0.39295637890109836
45,Neutral,0.15,0.5,0.1,0.17,0.3762604235825433
46,Neutral,0.15,0.55,0.1,0.09333333333333334,0.29138503682901834
47,Neutral,0.15,0.6,0.1,0.15333333333333332,0.360910529434111
48,Neutral,0.15,0.65,0.1,0.12,0.3255044965242802
49,Neutral,0.15,0.7,0.1,0.21,0.4079887859958013
50,Neutral,0.15,0.75,0.1,0.15,0.3576680324053048
51,Neutral,0.15,0.8,0.1,0.15,0.35766803240530487
52,Neutral,0.2,0.2,0.1,0.20666666666666667,0.40559080597963043
53,Neutral,0.2,0.25,0.1,0.19333333333333333,0.39557192271742886
54,Neutral,0.2,0.3,0.1,0.19333333333333333,0.3955719227174288
55,Neutral,0.2,0.35,0.1,0.16333333333333333,0.3702871825318561
56,Neutral,0.2,0.4,0.1,0.29,0.45452021821096356
57,Neutral,0.2,0.45,0.1,0.21333333333333335,0.41034558674051025
58,Neutral,0.2,0.5,0.1,0.13666666666666666,0.34406903458087257
59,Neutral,0.2,0.55,0.1,0.14666666666666667,0.3543644113182343
60,Neutral,0.2,0.6,0.1,0.25666666666666665,0.43752368943667863
61,Neutral,0.2,0.65,0.1,0.12666666666666668,0.3331549132304482
62,Neutral,0.2,0.7,0.1,0.19,0.39295637890109836
63,Neutral,0.2,0.75,0.1,0.2733333333333333,0.44641517737511854
64,Neutral,0.2,0.8,0.1,0.28,0.4497490939308706
65,Neutral,0.25,0.2,0.1,0.21,0.40798878599580135
66,Neutral,0.25,0.25,0.1,0.25,0.4337361989746801
67,Neutral,0.25,0.3,0.1,0.26666666666666666,0.44295551414779266
68,Neutral,0.25,0.35,0.1,0.20666666666666667,0.4055908059796305
69,Neutral,0.25,0.4,0.1,0.19666666666666666,0.3981422858999376
70,Neutral,0.25,0.45,0.1,0.23666666666666666,0.4257461153528186
71,Neutral,0.25,0.5,0.1,0.26666666666666666,0.4429555141477925
72,Neutral,0.25,0.55,0.1,0.14666666666666667,0.3543644113182341
73,Neutral,0.25,0.6,0.1,0.24666666666666667,0.4317912704378237
74,Neutral,0.25,0.65,0.1,0.26666666666666666,0.4429555141477926
75,Neutral,0.25,0.7,0.1,0.21666666666666667,0.41266191376532885
76,Neutral,0.25,0.75,0.1,0.30333333333333334,0.4604660525025121
77,Neutral,0.25,0.8,0.1,0.19333333333333333,0.39557192271742875
78,Neutral,0.3,0.2,0.1,0.25,0.4337361989746802
79,Neutral,0.3,0.25,0.1,0.2866666666666667,0.45296004041888355
80,Neutral,0.3,0.3,0.1,0.25666666666666665,0.43752368943667846
81,Neutral,0.3,0.35,0.1,0.22333333333333333,0.4171758315991677
82,Neutral,0.3,0.4,0.1,0.30333333333333334,0.460466052502512
83,Neutral,0.3,0.45,0.1,0.30333333333333334,0.4604660525025123
84,Neutral,0.3,0.5,0.1,0.26,0.43936713379686204
85,Neutral,0.3,0.55,0.1,0.28,0.4497490939308702
86,Neutral,0.3,0.6,0.1,0.25333333333333335,0.4356468556430324
87,Neutral,0.3,0.65,0.1,0.27,0.4447012450223349
88,Neutral,0.3,0.7,0.1,0.23666666666666666,0.4257461153528187
89,Neutral,0.3,0.75,0.1,0.24333333333333335,0.4298116047846785
90,Neutral,0.3,0.8,0.1,0.23333333333333334,0.4236592728681615
91,Neutral,0.35,0.2,0.1,0.25666666666666665,0.4375236894366784
92,Neutral,0.35,0.25,0.1,0.30333333333333334,0.46046605250251227
93,Neutral,0.35,0.3,0.1,0.31666666666666665,0.4659534285176793
94,Neutral,0.35,0.35,0.1,0.31666666666666665,0.46595342851767935
95,Neutral,0.35,0.4,0.1,0.31666666666666665,0.46595342851767935
96,Neutral,0.35,0.45,0.1,0.25333333333333335,0.4356468556430324
97,Neutral,0.35,0.5,0.1,0.37666666666666665,0.48535980056955524
98,Neutral,0.35,0.55,0.1,0.33666666666666667,0.4733593975897284
99,Neutral,0.35,0.6,0.1,0.3,0.45902324683737267
100,Neutral,0.35,0.65,0.1,0.3,0.4590232468373728
101,Neutral,0.35,0.7,0.1,0.3566666666666667,0.47981555356236283
102,Neutral,0.35,0.75,0.1,0.21666666666666667,0.41266191376532885
103,Neutral,0.35,0.8,0.1,0.3233333333333333,0.4685302810952917
104,Neutral,0.4,0.2,0.1,0.3433333333333333,0.4756149572016584
105,Neutral,0.4,0.25,0.1,0.33666666666666667,0.4733593975897285
106,Neutral,0.4,0.3,0.1,0.3466666666666667,0.47670365722489905
107,Neutral,0.4,0.35,0.1,0.2733333333333333,0.4464151773751183
108,Neutral,0.4,0.4,0.1,0.3566666666666667,0.479815553562363
109,Neutral,0.4,0.45,0.1,0.3466666666666667,0.47670365722489905
110,Neutral,0.4,0.5,0.1,0.28,0.44974909393087015
111,Neutral,0.4,0.55,0.1,0.3933333333333333,0.48930592665026296
112,Neutral,0.4,0.6,0.1,0.29,0.45452021821096344
113,Neutral,0.4,0.65,0.1,0.31333333333333335,0.464623653458797
114,Neutral,0.4,0.7,0.1,0.31666666666666665,0.46595342851767935
115,Neutral,0.4,0.75,0.1,0.30333333333333334,0.4604660525025123
116,Neutral,0.4,0.8,0.1,0.30333333333333334,0.4604660525025123
117,Neutral,0.45,0.2,0.1,0.36666666666666664,0.4826995806635822
118,Neutral,0.45,0.25,0.1,0.43333333333333335,0.49636358810271625
119,Neutral,0.45,0.3,0.1,0.3333333333333333,0.472192164649886
120,Neutral,0.45,0.35,0.1,0.41,0.49265508228408095
121,Neutral,0.45,0.4,0.1,0.44333333333333336,0.4976085507587093
122,Neutral,0.45,0.45,0.1,0.3933333333333333,0.48930592665026285
123,Neutral,0.45,0.5,0.1,0.36333333333333334,0.4817632978334417
124,Neutral,0.45,0.55,0.1,0.3466666666666667,0.4767036572248993
125,Neutral,0.45,0.6,0.1,0.43,0.49590294659486683
126,Neutral,0.45,0.65,0.1,0.3566666666666667,0.479815553562363
127,Neutral,0.45,0.7,0.1,0.32666666666666666,0.4697778122315972
128,Neutral,0.45,0.75,0.1,0.37333333333333335,0.4844976941199832
129,Neutral,0.45,0.8,0.1,0.35333333333333333,0.47880378629957077
130,Neutral,0.5,0.2,0.1,0.39666666666666667,0.4900230923050425
131,Neutral,0.5,0.25,0.1,0.42,0.4943831669050467
132,Neutral,0.5,0.3,0.1,0.43666666666666665,0.4968013629237531
133,Neutral,0.5,0.35,0.1,0.43666666666666665,0.4968013629237529
134,Neutral,0.5,0.4,0.1,0.4,0.49071649206571827
135,Neutral,0.5,0.45,0.1,0.43333333333333335,0.4963635881027163
136,Neutral,0.5,0.5,0.1,0.4266666666666667,0.49541937461579416
137,Neutral,0.5,0.55,0.1,0.4033333333333333,0.491386226541136
138,Neutral,0.5,0.6,0.1,0.36666666666666664,0.48269958066358226
139,Neutral,0.5,0.65,0.1,0.38333333333333336,0.48701076700570733
140,Neutral,0.5,0.7,0.1,0.4,0.49071649206571816
141,Neutral,0.5,0.75,0.1,0.42,0.49438316690504674
142,Neutral,0.5,0.8,0.1,0.42,0.49438316690504697
143,Punishment,0.0,0.2,0.1,0.1952,0.3965132257448073
144,Punishment,0.0,0.25,0.1,0.1728,0.37822559892601954
145,Punishment,0.0,0.3,0.1,0.2048,0.40371691800060094
146,Punishment,0.0,0.35,0.1,0.1296,0.3359972549356011
147,Punishment,0.0,0.4,0.1,0.1696,0.375431217241059
148,Punishment,0.0,0.45,0.1,0.1256,0.33153064723498005
149,Punishment,0.0,0.5,0.1,0.18,0.38434122149417155
150,Punishment,0.0,0.55,0.1,0.1472,0.35444698635043603
151,Punishment,0.0,0.6,0.1,0.176,0.38097258705800824
152,Punishment,0.0,0.65,0.1,0.1944,0.3958964854880339
153,Punishment,0.0,0.7,0.1,0.136,0.34292576232002475
154,Punishment,0.0,0.75,0.1,0.2112,0.4083233306509477
155,Punishment,0.0,0.8,0.1,0.1784,0.3830023402462539
156,Punishment,0.05,0.2,0.1,0.136,0.34292576232002475
157,Punishment,0.05,0.25,0.1,0.2208,0.4149519346701122
158,Punishment,0.05,0.3,0.1,0.1304,0.33687776611620235
159,Punishment,0.05,0.35,0.1,0.1552,0.3622401611465494
160,Punishment,0.05,0.4,0.1,0.1568,0.36375763317427995
161,Punishment,0.05,0.45,0.1,0.1688,0.37472509272277577
162,Punishment,0.05,0.5,0.1,0.14,0.34712590960297707
163,Punishment,0.05,0.55,0.1,0.1504,0.3576061321014689
164,Punishment,0.05,0.6,0.1,0.1624,0.3689649686874009
165,Punishment,0.05,0.65,0.1,0.06,0.237581893512321
166,Punishment,0.05,0.7,0.1,0.1616,0.3682307905812682
167,Punishment,0.05,0.75,0.1,0.2416,0.4282244048541954
168,Punishment,0.05,0.8,0.1,0.1192,0.32415339013539424
169,Punishment,0.1,0.2,0.1,0.1952,0.39651322574480713
170,Punishment,0.1,0.25,0.1,0.1608,0.36749340282635923
171,Punishment,0.1,0.3,0.1,0.1392,0.34629365491782993
172,Punishment,0.1,0.35,0.1,0.204,0.403130265806187
173,Punishment,0.1,0.4,0.1,0.1504,0.35760613210146897
174,Punishment,0.1,0.45,0.1,0.1544,0.3614763783952003
175,Punishment,0.1,0.5,0.1,0.192,0.3940307198259208
